"","median_results","shift_results","first_quartile_results","asymptote_results","loglikelihood_current_results","loglikelihood_proposal_results","acceptance_ratio_results"
"1",53.7105585182524,18.1992123892996,43.7374519530271,0.594376665992407,-1588.29972133073,-1586.99692224915,3.67958171594893
"2",48.9716938197868,10.8909954375122,25.6942664765853,0.807287957363847,-1586.99692224915,-1586.38325450821,1.84719401855942
"3",48.9716938197868,10.8909954375122,25.6942664765853,0.807287957363847,-1586.38325450821,-2528.26258493058,0
"4",48.9716938197868,10.8909954375122,25.6942664765853,0.807287957363847,-1586.38325450821,-2528.26258493058,0
"5",48.9716938197868,10.8909954375122,25.6942664765853,0.807287957363847,-1586.38325450821,-2528.26258493058,0
"6",48.9716938197868,10.8909954375122,25.6942664765853,0.807287957363847,-1586.38325450821,-2528.26258493058,0
"7",21.8457328758352,5.5232718528714,16.6588293819234,0.545950144298451,-1586.38325450821,-1577.06969485607,11087.3450590992
"8",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1577.06969485607,-1569.91125674216,1284.90249350001
"9",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"10",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-1583.20801667037,1.67992748662594e-06
"11",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-1582.65746024294,2.91336000848092e-06
"12",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"13",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"14",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-1583.89740951757,8.43123174281627e-07
"15",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"16",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"17",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-1591.26611370984,5.31745051647687e-10
"18",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"19",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"20",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"21",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"22",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"23",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"24",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"25",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"26",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
"27",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-1581.28450756144,1.14989961319676e-05
"28",25.4680434824785,21.256620856002,24.1987447416682,0.628871814740668,-1569.91125674216,-2528.26258493058,0
